name,code
"Campus Bike Shop","BIKE"
"S.J. Quinney College of Law","LAW"
"Mineral Processing Lab","MPL"
"Mining Systems Research Lab","MSRL"
"Experimental Studies Building","ESB"
"John and Marva Warnock Engineering Building","WEB"
"Alice Sheets Marriott Center for Dance","MCD"
"Life Science Building","LS"
"High Temperature Water Plant","HTW"
"Buildings & Grounds Storage Shed #2","BLG GR"
"Buildings & Grounds Storage Shed #1","BLG GR"
"Motor Pool Building","MOTOR"
"Physical Plant Services","PP SER"
"Public Safety Storage Shed","SAFETY"
"George S. Eccles 2002 Legacy Bridge","BRIDGE"
"Joseph F. Merrill Engineering Building","MEB"
"Floyd and Jeri Meldrum Civil Engineering Building","MCE"
"C. Roland Christensen Center","CRCC"
"Sculpture Building","SCULPT"
"Utah Museum of Fine Arts","UMFA"
"Social and Behavioral Science Lecture Hall","S BEH"
"College of Social Work","SW"
"Roy W. & Elizabeth E. Simmons Pioneer Memorial Theatre","PMT"
"Aline Wilmot Skaggs Biology Building","ASB"
"Alfred C. Emery Building","AEB"
"Golf Pro Shop","GLF SH"
"Sorenson Molecular Biotechnology","SMBB"
"Office of Sponsored Projects","S PROJ"
"Fine Arts West","FAW"
"Cauldron Legacy Plaza Visitors Center","PLAZA"
"David P. Gardner Hall","DGH"
"James Talmage Building","JTB"
"Sorenson Arts & Education Complex","SAEC"
"HPER","HPRNAT"
"Thatcher Chemistry","TBBC"
"Civil and Materials Engineering","CME"
"Park Building","PARK"
"Intermountain Network Scientific Computation Center","INSCC"
"LeRoy E. Cowles Building","LCB"
"Naval Science Building","NS"
"Spencer Fox Eccles Business Building","SFEBB"
"Spence Eccles Ski Team Building","SKI"
"Grounds Storage Building","BLG GR"
"George S. Eccles Student Life Center","GSESLC"
"Joseph T. Kingsbury Hall","KH"
"Henry Eyring Chemistry Building","HEB"
"V. Randall Turpin University Services Building","VRTUSB"
"Jon M. Huntsman Center","JHC"
"Space Planning & Management","SPACE"
"Social & Behavioral Sciences","BEH S"
"Biology Building","BIOL"
"Alan W. Layton Engineering Building","LEB"
"Performing Arts Building","PAB"
"Eccles House","EH"
"Dumke Family Softball Stadium","DFSS"
"Einar Nielsen","FLD H"
"William Stewart Building","ST"
"The Gary L. and Ann T. Crocker Science Center at the George Thomas Building","CSC"
"HPER West","HPR W"
"HPER East","HPR E"
"Kenneth P. Burbidge, Jr., Family Athletics Academic Center","KBAC"
"HPER North","HPR N"
"HPER Mechanical Building Southwest","HPR SW"
"Central Garage","CPG"
"Language & Communication Building","LNCO"
"Bldg 301","SAFETY"
"Art Building","ART"
"Architecture Building","ARCH"
"A. Ray Olpin Union","UNION"
"Carolyn Tanner Irish Humanities Building","CTIHB"
"Student Services Building","SSB"
"James C. Fletcher Building","JFB"
"Voice & Opera Center","VOICE"
"Frederick Albert Sutton Building","FASB"
"William C. Browning Building","WBB"
"John A. Widtsoe Building","JWB"
"J. Willard Marriott Library","M LIB"
"Film and Media Arts Building","FMAB"
"Business Classroom Building","BU C"
"Donna Garff Marriott Residential Scholars Community","MHC"
"Cleone Peterson Eccles Alumni House","ALUMNI"
"Rosenblatt House","ROSEN"
"Carolyn and Kem Gardner Commons","GC"
"HPER Mechanical Building Southeast","HPR SE"
"Jon M. and Karen Huntsman Basketball Facility","HBF"
"Northwest Garage","Northwest"
"Sterling Sill Center","SILL"
"University Campus Store","U CAMPSTOR"
"Physics Building","PHYS"
"John & Marcia Price Theatre Arts Building","PTAB"
"Impact Prosperity Epicenter Building","IPE"
"Rio Tinto Kennecott Mechanical Engineering Building","MEK"
"Lassonde Studios","LSND"
"Rice-Eccles Stadium","STAD"
"Robert H. and Katharine B. Garff Executive Education Building","Garff"
"Dolores Dore Eccles Broadcast Center","EBC"
"Kahlert Village","KV"
"Dumke Gymnastics Center","DGC"
