id,name,longitude,latitude,car_count,stall_count,last_updated,enabled
1,Social Work,-111.8457730000000000,40.7604760000000000,60,175,2024-02-02 00:05:12,1
3,Union North,-111.8461270000000000,40.7664100000000000,64,103,2024-02-02 00:05:12,1
4,Student Services,-111.8475870000000000,40.7655370000000000,77,77,2024-02-02 00:05:12,1
10,West Stadium,-111.8510530000000000,40.7596460000000000,887,887,2024-02-02 00:05:12,1
11,Chemistry,-111.8487460000000000,40.7618470000000000,37,94,2024-02-02 00:05:12,1
13,Marriott Library,-111.8475870000000000,40.7623930000000000,266,340,2024-02-02 00:05:12,1
14,Sculpture,-111.8443650000000000,40.7602180000000000,50,50,2024-02-02 00:05:12,1
20,Huntsman South,-111.8381890000000000,40.7614630000000000,39,44,2024-02-02 00:05:12,1
23,Warnock Engineering,-111.8450370000000000,40.7665090000000000,0,36,2024-02-02 00:05:12,1
25,Fine Arts West,-111.8532350000000000,40.7634360000000000,4,12,2024-02-02 00:05:12,1
26,Gardner Hall,-111.8514650000000000,40.7667900000000000,2,9,2024-02-02 00:05:12,1
28,HEDCO,-111.8456360000000000,40.7661230000000000,3,103,2024-02-02 00:05:12,1
59,Student Life,-111.8375500000000000,40.7654570000000000,25,34,2024-02-02 00:05:12,1
70,Business,-111.8425410000000000,40.7610880000000000,119,299,2024-02-02 00:05:12,1
79,East Stadium,-111.8460660000000000,40.7594720000000000,89,279,2024-02-02 00:05:12,1
87,Law,-111.8504290000000000,40.7618370000000000,341,341,2024-02-02 00:05:12,1
94,Merrill Engineering,-111.8462260000000000,40.7702290000000000,874,1046,2024-02-02 00:05:12,1
621,Alumni,-111.8437110000000000,40.7668340000000000,183,269,2024-02-02 00:05:12,1
623,Sorenson,-111.8441190000000000,40.7693020000000000,335,514,2024-02-02 00:05:12,1
627,Kennecott,-111.8480300000000000,40.7678790000000000,145,175,2024-02-02 00:05:12,1
19022,Presidents Circle,-111.8494770000000000,40.7650560000000000,0,210,2024-02-02 00:05:12,1
24464,Central Garage,-111.8414330000000000,40.7616430000000000,184,184,2024-02-02 00:05:12,1
24958,Central Garage,-111.8414330000000000,40.7616430000000000,100,209,2024-02-02 00:05:12,1
25358,Central Garage,-111.8414330000000000,40.7616430000000000,212,212,2024-02-02 00:05:12,1
25769,Central Garage,-111.8414330000000000,40.7616430000000000,54,183,2024-02-02 00:05:12,1
27740,Northwest Garage,-111.8487690000000000,40.7663920000000000,10,15,2024-02-02 00:05:12,1
27741,Northwest Garage,-111.8487690000000000,40.7663920000000000,82,82,2024-02-02 00:05:12,1
27743,Northwest Garage,-111.8487690000000000,40.7663920000000000,36,87,2024-02-02 00:05:12,1
28043,Northwest Garage,-111.8487690000000000,40.7663920000000000,88,88,2024-02-02 00:05:12,1
28146,Northwest Garage,-111.8487690000000000,40.7663920000000000,34,45,2024-02-02 00:05:12,1
28223,Tanner Dance,-111.8404310000000000,40.7618860000000000,71,71,2024-02-02 00:05:12,1
36226,Marriott South,-111.8467080000000000,40.7617300000000000,49,49,2024-02-02 00:05:12,1
51036,Huntsman East,-111.8374070000000000,40.7630790000000000,266,345,2024-02-02 00:05:12,1
51836,Huntsman West,-111.8395900000000000,40.7608190000000000,108,108,2024-02-02 00:05:12,1
51837,University Services,-111.8406580000000000,40.7611470000000000,30,135,2024-02-02 00:05:12,1
59043,Soccer,-111.8398080000000000,40.7674870000000000,202,220,2024-02-02 00:05:12,1
61443,Naval Science,-111.8494080000000000,40.7660840000000000,68,68,2024-02-02 00:05:12,1
62243,Union East,-111.8443880000000000,40.7650030000000000,315,315,2024-02-02 00:05:12,1
63044,USTAR,-111.8432320000000000,40.7705580000000000,222,222,2024-02-02 00:05:12,1
65847,Broadcast Center,-111.8393500000000000,40.7690610000000000,0,812,2024-02-02 00:05:12,1
75084,HPER Sports,-111.8421130000000000,40.7650270000000000,230,230,2024-02-02 00:05:12,1
